title,description,tags,difficulty,category,hint
Validate Binary Search Tree,"Given the root of a binary tree, determine if it is a valid BST. A valid BST has all left subtree nodes less than root and all right subtree nodes greater.","DFS, Tree, Binary Tree, BFS",MEDIUM,TREE_TRAVERSAL,"Use DFS with min/max bounds. For each node, verify it falls within (min, max). Go left with updated max=node.val, go right with updated min=node.val. Start with (-infinity, +infinity)."
Unique Paths,A robot is on the top-left corner of an m x n grid. It can only move right or down. How many possible unique paths are there to the bottom-right corner?,"Math, Recursion, Dynamic Programming",HARD,DYNAMIC_PROGRAMMING,This has overlapping subproblems — a hallmark of Dynamic Programming. Define dp[i] as the answer for step i. The recurrence is dp[i] = dp[i-1] + dp[i-2]. Build the table bottom-up.
Longest Common Subsequence,"Given two strings text1 and text2, return the length of their longest common subsequence. A subsequence can skip characters but maintains relative order.","Dynamic Programming, Recursion",MEDIUM,DYNAMIC_PROGRAMMING,"Define dp[i] = max money from first i houses. Recurrence: dp[i] = max(dp[i-1], dp[i-2] + nums[i]). You either skip house i or rob it plus the best from two houses back."
Number of 1 Bits,Write a function that takes an unsigned integer and returns the number of 1 bits it has (also known as the Hamming weight).,Math,MEDIUM,BIT_MANIPULATION,"Use n & (n-1) to clear the lowest set bit. Count how many times you can do this before n becomes 0. Alternatively, check each bit with n & 1 and right-shift n repeatedly."
Unique Paths,A robot is on the top-left corner of an m x n grid. It can only move right or down. How many possible unique paths are there to the bottom-right corner?,"Dynamic Programming, Recursion, Math",HARD,DYNAMIC_PROGRAMMING,"Define dp[i] = max money from first i houses. Recurrence: dp[i] = max(dp[i-1], dp[i-2] + nums[i]). You either skip house i or rob it plus the best from two houses back."
Min Stack,"Design a stack that supports push, pop, top, and retrieving the minimum element in constant time.","Stack, Design",MEDIUM,STACK_QUEUE,"Maintain two stacks: one for actual values and one for tracking the current minimum. When pushing, also push onto the min stack if the value is <= current min. When popping, pop from min stack if the value equals current min."
Clone Graph,"Given a reference of a node in a connected undirected graph, return a deep copy of the graph. Each node contains a value and a list of its neighbors.","BFS, DFS, Matrix, Graph",HARD,GRAPH_TRAVERSAL,"Iterate through each cell. When you find a '1', increment island count and run DFS/BFS to mark all connected '1's as visited (change them to '0'). This prevents counting the same island twice."
Invert Binary Tree,"Given the root of a binary tree, invert the tree and return its root. Inverting means swapping every left child with the right child.","BFS, Tree, DFS, Binary Tree",MEDIUM,TREE_TRAVERSAL,"Use recursion (DFS). The depth of a node is 1 + max(depth(left), depth(right)). Base case: a null node has depth 0. This naturally visits every node once in O(n)."
House Robber,"Given an integer array representing the amount of money at each house, determine the maximum amount you can rob without robbing two adjacent houses.","Dynamic Programming, Math, Recursion",MEDIUM,DYNAMIC_PROGRAMMING,This has overlapping subproblems — a hallmark of Dynamic Programming. Define dp[i] as the answer for step i. The recurrence is dp[i] = dp[i-1] + dp[i-2]. Build the table bottom-up.
Course Schedule,There are n courses labeled 0 to n-1. Some courses have prerequisites. Determine if it is possible to finish all courses given the prerequisite pairs.,"Graph, Matrix",MEDIUM,GRAPH_TRAVERSAL,"Use DFS or BFS with a visited HashMap mapping original nodes to their clones. For each node, create a clone, then recursively clone all unvisited neighbors."
Invert Binary Tree,"Given the root of a binary tree, invert the tree and return its root. Inverting means swapping every left child with the right child.","BFS, Tree, Binary Tree",EASY,TREE_TRAVERSAL,"Recursively swap the left and right children at every node. Base case: if the node is null, return null. The recursive call is: swap(node.left, node.right), then recurse on both children."
Sort Colors,"Given an array nums with n objects colored red (0), white (1), and blue (2), sort them in-place so that objects of the same color are adjacent, in order 0 1 2.","Greedy, Sorting",MEDIUM,SORTING_ALGORITHM,"Use a Min-Heap of size k. Iterate through all elements, pushing each one. If heap size exceeds k, pop the smallest. At the end, the heap's top is the kth largest. O(n log k) time."
Daily Temperatures,"Given an array of daily temperatures, return an array where answer[i] is the number of days you have to wait until a warmer temperature. If no future warmer day exists, set it to 0.","Design, Queue",MEDIUM,STACK_QUEUE,"Use a Monotonic Stack (decreasing). Iterate through temperatures. For each day, pop all stack elements with lower temperatures and record the distance. Push the current day's index onto the stack."
Search in Rotated Sorted Array,"Given a rotated sorted array and a target, return the index of the target or -1 if not found. The array was originally sorted in ascending order then rotated at an unknown pivot.","Array, Sorting",EASY,BINARY_SEARCH,"Use binary search. Compare nums[mid] with nums[mid+1]. If nums[mid] < nums[mid+1], the peak is in the right half (move left = mid+1). Otherwise, the peak is in the left half including mid."
Power of Two,"Given an integer n, return true if it is a power of two. Otherwise, return false. A power of two has exactly one bit set in its binary representation.","Math, Bit Manipulation",EASY,BIT_MANIPULATION,"Use n & (n-1) to clear the lowest set bit. Count how many times you can do this before n becomes 0. Alternatively, check each bit with n & 1 and right-shift n repeatedly."
Two Sum,"Given an array of integers nums and an integer target, return indices of the two numbers such that they add up to target. You may assume that each input would have exactly one solution.",Hash Table,MEDIUM,HASH_MAP_LOOKUP,"A Hash Set is ideal here. Insert elements one by one — if an element already exists in the set before insertion, you have your answer immediately."
Kth Largest Element,"Given an integer array nums and an integer k, return the kth largest element in the array. Note that it is the kth largest element in sorted order.",Sorting,MEDIUM,SORTING_ALGORITHM,"Use the Dutch National Flag algorithm with three pointers: low, mid, high. Swap 0s to the front (low) and 2s to the back (high), leaving 1s in the middle. Single pass O(n)."
Kth Largest Element,"Given an integer array nums and an integer k, return the kth largest element in the array. Note that it is the kth largest element in sorted order.","Greedy, Array, Sorting",EASY,SORTING_ALGORITHM,"Use a Min-Heap of size k. Iterate through all elements, pushing each one. If heap size exceeds k, pop the smallest. At the end, the heap's top is the kth largest. O(n log k) time."
Merge Intervals,"Given an array of intervals where intervals[i] = [start, end], merge all overlapping intervals and return an array of the non-overlapping intervals.",Sorting,MEDIUM,SORTING_ALGORITHM,"Use a Min-Heap of size k. Iterate through all elements, pushing each one. If heap size exceeds k, pop the smallest. At the end, the heap's top is the kth largest. O(n log k) time."
Maximum Average Subarray,"Given an integer array nums and an integer k, find a contiguous subarray whose length is equal to k that has the maximum average value.","Sliding Window, Array",HARD,SLIDING_WINDOW,"Keep a window with two pointers. Use a dictionary to count character frequencies inside the window. When all required characters are present, try shrinking from the left to find the minimum valid window."
Single Number,"Given a non-empty array where every element appears twice except for one, find the single element. Your solution should have linear runtime and use no extra memory.","Math, Bit Manipulation",EASY,BIT_MANIPULATION,"A power of two in binary has exactly one 1-bit. Use the trick: n > 0 && (n & (n-1)) == 0. The expression n & (n-1) clears the lowest set bit — if that makes it zero, it was a power of 2."
Merge Intervals,"Given an array of intervals where intervals[i] = [start, end], merge all overlapping intervals and return an array of the non-overlapping intervals.","Sorting, Greedy, Array",MEDIUM,SORTING_ALGORITHM,"Use the Dutch National Flag algorithm with three pointers: low, mid, high. Swap 0s to the front (low) and 2s to the back (high), leaving 1s in the middle. Single pass O(n)."
Minimum Window Substring,"Given two strings s and t, return the minimum window substring of s such that every character in t is included in the window.","Array, String, Sliding Window",HARD,SLIDING_WINDOW,"Use a fixed-size sliding window of length k. Compute the sum of the first k elements, then slide by adding the next element and removing the leftmost. Track the maximum sum found."
Search Insert Position,"Given a sorted array and a target value, return the index where it would be inserted in order. The array contains distinct values.","Sorting, Array",EASY,BINARY_SEARCH,"Use binary search. Compare nums[mid] with nums[mid+1]. If nums[mid] < nums[mid+1], the peak is in the right half (move left = mid+1). Otherwise, the peak is in the left half including mid."
Course Schedule,There are n courses labeled 0 to n-1. Some courses have prerequisites. Determine if it is possible to finish all courses given the prerequisite pairs.,"BFS, Matrix, Graph, DFS",MEDIUM,GRAPH_TRAVERSAL,"Iterate through each cell. When you find a '1', increment island count and run DFS/BFS to mark all connected '1's as visited (change them to '0'). This prevents counting the same island twice."
Climbing Stairs,You are climbing a staircase. It takes n steps to reach the top. Each time you can either climb 1 or 2 steps. In how many distinct ways can you climb to the top?,"Recursion, Dynamic Programming",HARD,DYNAMIC_PROGRAMMING,"Define dp[i] = max money from first i houses. Recurrence: dp[i] = max(dp[i-1], dp[i-2] + nums[i]). You either skip house i or rob it plus the best from two houses back."
Longest Substring Without Repeating Characters,"Given a string s, find the length of the longest substring without repeating characters. A substring is a contiguous sequence of characters within the string.","Array, String, Sliding Window",HARD,SLIDING_WINDOW,"Create a frequency map of s1. Slide a window of size len(s1) across s2, maintaining a frequency map of the window. Compare the two maps at each position."
Permutation in String,"Given two strings s1 and s2, return true if s2 contains a permutation of s1, or false otherwise. A permutation is a rearrangement of all characters.","Array, String",MEDIUM,SLIDING_WINDOW,"Keep a window with two pointers. Use a dictionary to count character frequencies inside the window. When all required characters are present, try shrinking from the left to find the minimum valid window."
Number of 1 Bits,Write a function that takes an unsigned integer and returns the number of 1 bits it has (also known as the Hamming weight).,"Math, Bit Manipulation",EASY,BIT_MANIPULATION,"A power of two in binary has exactly one 1-bit. Use the trick: n > 0 && (n & (n-1)) == 0. The expression n & (n-1) clears the lowest set bit — if that makes it zero, it was a power of 2."
Level Order Traversal,"Given the root of a binary tree, return the level order traversal of its nodes' values, i.e., from left to right, level by level.","Binary Tree, Tree, BFS",EASY,TREE_TRAVERSAL,"Recursively swap the left and right children at every node. Base case: if the node is null, return null. The recursive call is: swap(node.left, node.right), then recurse on both children."
Merge Intervals,"Given an array of intervals where intervals[i] = [start, end], merge all overlapping intervals and return an array of the non-overlapping intervals.","Sorting, Array",MEDIUM,SORTING_ALGORITHM,"Use a Min-Heap of size k. Iterate through all elements, pushing each one. If heap size exceeds k, pop the smallest. At the end, the heap's top is the kth largest. O(n log k) time."
Reverse Linked List,"Given the head of a singly linked list, reverse the list and return the new head.","Recursion, Two Pointers",EASY,LINKED_LIST,"Use a dummy head node. Compare the values at the front of both lists. Append the smaller one to the result and advance that list's pointer. Continue until one list is empty, then append the remainder."
Validate Binary Search Tree,"Given the root of a binary tree, determine if it is a valid BST. A valid BST has all left subtree nodes less than root and all right subtree nodes greater.","DFS, Binary Tree",EASY,TREE_TRAVERSAL,"Recursively swap the left and right children at every node. Base case: if the node is null, return null. The recursive call is: swap(node.left, node.right), then recurse on both children."
Detect Cycle in Linked List,"Given head of a linked list, determine if it has a cycle. A cycle exists if some node can be reached again by continuously following the next pointer.","Linked List, Two Pointers, Recursion",EASY,LINKED_LIST,"Use a dummy head node. Compare the values at the front of both lists. Append the smaller one to the result and advance that list's pointer. Continue until one list is empty, then append the remainder."
Merge Intervals,"Given an array of intervals where intervals[i] = [start, end], merge all overlapping intervals and return an array of the non-overlapping intervals.","Array, Greedy",MEDIUM,SORTING_ALGORITHM,"Sort intervals by start time. Then iterate and compare each interval with the last merged one. If they overlap (current.start <= lastMerged.end), extend the end. Otherwise, add a new interval."
Valid Anagram,"Given two strings s and t, return true if t is an anagram of s, and false otherwise. An anagram uses the exact same letters the same number of times.","Array, Two Pointers",EASY,HASH_MAP_LOOKUP,"Use a Hash Map (dictionary) to store values as keys while you iterate through the array. For each element, check if the complement (target - current) already exists in the map. This reduces O(n²) brute force to O(n)."
Merge Two Sorted Lists,Merge the two sorted linked lists into one sorted list. The list should be made by splicing together the nodes of the first two lists.,Two Pointers,MEDIUM,LINKED_LIST,"Use three pointers: prev (starts null), current (starts at head), and next (temp). At each step: save next, point current.next to prev, move prev to current, move current to next."
Longest Common Subsequence,"Given two strings text1 and text2, return the length of their longest common subsequence. A subsequence can skip characters but maintains relative order.","Dynamic Programming, Recursion, Math",MEDIUM,DYNAMIC_PROGRAMMING,"Build a 2D DP table where dp[i][j] represents the LCS length for text1[0..i] and text2[0..j]. If characters match, dp[i][j] = dp[i-1][j-1] + 1, otherwise take max(dp[i-1][j], dp[i][j-1])."
Kth Largest Element,"Given an integer array nums and an integer k, return the kth largest element in the array. Note that it is the kth largest element in sorted order.",Array,EASY,SORTING_ALGORITHM,"Sort intervals by start time. Then iterate and compare each interval with the last merged one. If they overlap (current.start <= lastMerged.end), extend the end. Otherwise, add a new interval."
Group Anagrams,"Given an array of strings strs, group the anagrams together. You can return the answer in any order. An anagram is a rearrangement of letters.","Hash Table, Two Pointers",EASY,HASH_MAP_LOOKUP,"Build a frequency map (character counts) for one input, then verify it against the other. Collections.Counter or a simple dictionary works perfectly."
Permutation in String,"Given two strings s1 and s2, return true if s2 contains a permutation of s1, or false otherwise. A permutation is a rearrangement of all characters.","Array, String, Sliding Window",HARD,SLIDING_WINDOW,"Use a fixed-size sliding window of length k. Compute the sum of the first k elements, then slide by adding the next element and removing the leftmost. Track the maximum sum found."
Valid Parentheses,"Given a string containing just the characters (, ), {, }, [ and ], determine if the input string is valid. Brackets must be closed in the correct order.",Design,MEDIUM,STACK_QUEUE,"Maintain two stacks: one for actual values and one for tracking the current minimum. When pushing, also push onto the min stack if the value is <= current min. When popping, pop from min stack if the value equals current min."
Longest Substring Without Repeating Characters,"Given a string s, find the length of the longest substring without repeating characters. A substring is a contiguous sequence of characters within the string.","Sliding Window, Array, String",MEDIUM,SLIDING_WINDOW,"Use a fixed-size sliding window of length k. Compute the sum of the first k elements, then slide by adding the next element and removing the leftmost. Track the maximum sum found."
Level Order Traversal,"Given the root of a binary tree, return the level order traversal of its nodes' values, i.e., from left to right, level by level.","DFS, BFS, Binary Tree",MEDIUM,TREE_TRAVERSAL,"Use DFS with min/max bounds. For each node, verify it falls within (min, max). Go left with updated max=node.val, go right with updated min=node.val. Start with (-infinity, +infinity)."
Clone Graph,"Given a reference of a node in a connected undirected graph, return a deep copy of the graph. Each node contains a value and a list of its neighbors.","Matrix, DFS, BFS",MEDIUM,GRAPH_TRAVERSAL,"Use DFS or BFS with a visited HashMap mapping original nodes to their clones. For each node, create a clone, then recursively clone all unvisited neighbors."
Two Sum,"Given an array of integers nums and an integer target, return indices of the two numbers such that they add up to target. You may assume that each input would have exactly one solution.","Array, Hash Table, Two Pointers",MEDIUM,HASH_MAP_LOOKUP,"Build a frequency map (character counts) for one input, then verify it against the other. Collections.Counter or a simple dictionary works perfectly."
Validate Binary Search Tree,"Given the root of a binary tree, determine if it is a valid BST. A valid BST has all left subtree nodes less than root and all right subtree nodes greater.","Binary Tree, BFS, Tree, DFS",MEDIUM,TREE_TRAVERSAL,"Use DFS with min/max bounds. For each node, verify it falls within (min, max). Go left with updated max=node.val, go right with updated min=node.val. Start with (-infinity, +infinity)."
Single Number,"Given a non-empty array where every element appears twice except for one, find the single element. Your solution should have linear runtime and use no extra memory.","Math, Bit Manipulation",EASY,BIT_MANIPULATION,"Use n & (n-1) to clear the lowest set bit. Count how many times you can do this before n becomes 0. Alternatively, check each bit with n & 1 and right-shift n repeatedly."
Longest Substring Without Repeating Characters,"Given a string s, find the length of the longest substring without repeating characters. A substring is a contiguous sequence of characters within the string.","Array, String",MEDIUM,SLIDING_WINDOW,"Keep a window with two pointers. Use a dictionary to count character frequencies inside the window. When all required characters are present, try shrinking from the left to find the minimum valid window."
Level Order Traversal,"Given the root of a binary tree, return the level order traversal of its nodes' values, i.e., from left to right, level by level.","BFS, Tree, Binary Tree, DFS",EASY,TREE_TRAVERSAL,"Recursively swap the left and right children at every node. Base case: if the node is null, return null. The recursive call is: swap(node.left, node.right), then recurse on both children."
Coin Change,"Given an array coins and an amount, return the fewest number of coins needed to make up that amount. If that amount cannot be made up, return -1.",Math,MEDIUM,DYNAMIC_PROGRAMMING,"Use a 1D DP array where dp[amount] = minimum coins needed. Initialize dp[0]=0 and all others to infinity. For each coin, update dp[j] = min(dp[j], dp[j-coin]) for j from coin to amount."
Coin Change,"Given an array coins and an amount, return the fewest number of coins needed to make up that amount. If that amount cannot be made up, return -1.",Math,MEDIUM,DYNAMIC_PROGRAMMING,"Build a 2D DP table where dp[i][j] represents the LCS length for text1[0..i] and text2[0..j]. If characters match, dp[i][j] = dp[i-1][j-1] + 1, otherwise take max(dp[i-1][j], dp[i][j-1])."
Coin Change,"Given an array coins and an amount, return the fewest number of coins needed to make up that amount. If that amount cannot be made up, return -1.","Math, Dynamic Programming",HARD,DYNAMIC_PROGRAMMING,Create a 2D grid dp[m][n]. Each cell dp[i][j] = dp[i-1][j] + dp[i][j-1] since you can only arrive from above or from the left. Base case: first row and first column are all 1.
Reverse Linked List,"Given the head of a singly linked list, reverse the list and return the new head.","Linked List, Two Pointers, Recursion",MEDIUM,LINKED_LIST,"Use a dummy head node. Compare the values at the front of both lists. Append the smaller one to the result and advance that list's pointer. Continue until one list is empty, then append the remainder."
Clone Graph,"Given a reference of a node in a connected undirected graph, return a deep copy of the graph. Each node contains a value and a list of its neighbors.","Graph, DFS, BFS, Matrix",HARD,GRAPH_TRAVERSAL,"Model this as a directed graph and check for cycles using topological sort (Kahn's algorithm with in-degree tracking, or DFS with coloring). If a cycle exists, you cannot finish all courses."
Detect Cycle in Linked List,"Given head of a linked list, determine if it has a cycle. A cycle exists if some node can be reached again by continuously following the next pointer.","Linked List, Recursion",EASY,LINKED_LIST,"Use three pointers: prev (starts null), current (starts at head), and next (temp). At each step: save next, point current.next to prev, move prev to current, move current to next."
Minimum Window Substring,"Given two strings s and t, return the minimum window substring of s such that every character in t is included in the window.","Sliding Window, Array, String",HARD,SLIDING_WINDOW,"Use a fixed-size sliding window of length k. Compute the sum of the first k elements, then slide by adding the next element and removing the leftmost. Track the maximum sum found."
Valid Anagram,"Given two strings s and t, return true if t is an anagram of s, and false otherwise. An anagram uses the exact same letters the same number of times.","Array, Two Pointers, Hash Table",EASY,HASH_MAP_LOOKUP,"Build a frequency map (character counts) for one input, then verify it against the other. Collections.Counter or a simple dictionary works perfectly."
Sort Colors,"Given an array nums with n objects colored red (0), white (1), and blue (2), sort them in-place so that objects of the same color are adjacent, in order 0 1 2.","Array, Sorting",MEDIUM,SORTING_ALGORITHM,"Use the Dutch National Flag algorithm with three pointers: low, mid, high. Swap 0s to the front (low) and 2s to the back (high), leaving 1s in the middle. Single pass O(n)."
House Robber,"Given an integer array representing the amount of money at each house, determine the maximum amount you can rob without robbing two adjacent houses.","Dynamic Programming, Recursion",MEDIUM,DYNAMIC_PROGRAMMING,"Define dp[i] = max money from first i houses. Recurrence: dp[i] = max(dp[i-1], dp[i-2] + nums[i]). You either skip house i or rob it plus the best from two houses back."
Longest Substring Without Repeating Characters,"Given a string s, find the length of the longest substring without repeating characters. A substring is a contiguous sequence of characters within the string.","Array, String",HARD,SLIDING_WINDOW,"Create a frequency map of s1. Slide a window of size len(s1) across s2, maintaining a frequency map of the window. Compare the two maps at each position."
Contains Duplicate,"Given an integer array nums, return true if any value appears at least twice in the array, and return false if every element is distinct.","Array, Two Pointers",EASY,HASH_MAP_LOOKUP,"Store elements of the smaller array in a Hash Set, then iterate through the larger array checking for membership. This gives O(n+m) time complexity."
Clone Graph,"Given a reference of a node in a connected undirected graph, return a deep copy of the graph. Each node contains a value and a list of its neighbors.","Matrix, BFS",MEDIUM,GRAPH_TRAVERSAL,"Iterate through each cell. When you find a '1', increment island count and run DFS/BFS to mark all connected '1's as visited (change them to '0'). This prevents counting the same island twice."
Course Schedule,There are n courses labeled 0 to n-1. Some courses have prerequisites. Determine if it is possible to finish all courses given the prerequisite pairs.,"Graph, DFS, BFS, Matrix",HARD,GRAPH_TRAVERSAL,"Iterate through each cell. When you find a '1', increment island count and run DFS/BFS to mark all connected '1's as visited (change them to '0'). This prevents counting the same island twice."
Valid Parentheses,"Given a string containing just the characters (, ), {, }, [ and ], determine if the input string is valid. Brackets must be closed in the correct order.","Queue, Design, Stack",MEDIUM,STACK_QUEUE,"Use a Monotonic Stack (decreasing). Iterate through temperatures. For each day, pop all stack elements with lower temperatures and record the distance. Push the current day's index onto the stack."
Number of Islands,"Given a 2D grid map of ones (land) and zeros (water), count the number of islands. An island is surrounded by water and is formed by connecting adjacent lands horizontally or vertically.","Matrix, BFS, Graph",MEDIUM,GRAPH_TRAVERSAL,"Model this as a directed graph and check for cycles using topological sort (Kahn's algorithm with in-degree tracking, or DFS with coloring). If a cycle exists, you cannot finish all courses."
Longest Substring Without Repeating Characters,"Given a string s, find the length of the longest substring without repeating characters. A substring is a contiguous sequence of characters within the string.",Array,MEDIUM,SLIDING_WINDOW,"Use the Sliding Window technique: maintain two pointers (left and right) that define a window. Expand right to include new characters, and shrink left when you encounter a duplicate. Track characters in a Set or frequency array."
Number of Islands,"Given a 2D grid map of ones (land) and zeros (water), count the number of islands. An island is surrounded by water and is formed by connecting adjacent lands horizontally or vertically.","Matrix, BFS, Graph",HARD,GRAPH_TRAVERSAL,"Iterate through each cell. When you find a '1', increment island count and run DFS/BFS to mark all connected '1's as visited (change them to '0'). This prevents counting the same island twice."
Search Insert Position,"Given a sorted array and a target value, return the index where it would be inserted in order. The array contains distinct values.","Binary Search, Sorting, Array",EASY,BINARY_SEARCH,"Classic Binary Search: maintain left and right pointers. Compute mid = (left+right)//2. If nums[mid] == target, return mid. If nums[mid] < target, search right half. Otherwise search left half."
Min Stack,"Design a stack that supports push, pop, top, and retrieving the minimum element in constant time.","Queue, Stack",MEDIUM,STACK_QUEUE,"Maintain two stacks: one for actual values and one for tracking the current minimum. When pushing, also push onto the min stack if the value is <= current min. When popping, pop from min stack if the value equals current min."
Climbing Stairs,You are climbing a staircase. It takes n steps to reach the top. Each time you can either climb 1 or 2 steps. In how many distinct ways can you climb to the top?,Recursion,HARD,DYNAMIC_PROGRAMMING,"Build a 2D DP table where dp[i][j] represents the LCS length for text1[0..i] and text2[0..j]. If characters match, dp[i][j] = dp[i-1][j-1] + 1, otherwise take max(dp[i-1][j], dp[i][j-1])."
Find Peak Element,"Given an integer array nums, find a peak element and return its index. A peak element is strictly greater than its neighbors. The array may contain multiple peaks.",Sorting,EASY,BINARY_SEARCH,"Use binary search but instead of returning -1 when not found, return the left pointer after the loop ends — that is exactly where the target should be inserted to maintain sorted order."
Merge Intervals,"Given an array of intervals where intervals[i] = [start, end], merge all overlapping intervals and return an array of the non-overlapping intervals.","Greedy, Array",MEDIUM,SORTING_ALGORITHM,"Sort intervals by start time. Then iterate and compare each interval with the last merged one. If they overlap (current.start <= lastMerged.end), extend the end. Otherwise, add a new interval."
Find Peak Element,"Given an integer array nums, find a peak element and return its index. A peak element is strictly greater than its neighbors. The array may contain multiple peaks.","Binary Search, Array, Sorting",MEDIUM,BINARY_SEARCH,"Use binary search but instead of returning -1 when not found, return the left pointer after the loop ends — that is exactly where the target should be inserted to maintain sorted order."
Kth Largest Element,"Given an integer array nums and an integer k, return the kth largest element in the array. Note that it is the kth largest element in sorted order.","Greedy, Sorting, Array",MEDIUM,SORTING_ALGORITHM,"Use the Dutch National Flag algorithm with three pointers: low, mid, high. Swap 0s to the front (low) and 2s to the back (high), leaving 1s in the middle. Single pass O(n)."
Clone Graph,"Given a reference of a node in a connected undirected graph, return a deep copy of the graph. Each node contains a value and a list of its neighbors.","BFS, Graph, DFS",MEDIUM,GRAPH_TRAVERSAL,"Use DFS or BFS with a visited HashMap mapping original nodes to their clones. For each node, create a clone, then recursively clone all unvisited neighbors."
Merge Intervals,"Given an array of intervals where intervals[i] = [start, end], merge all overlapping intervals and return an array of the non-overlapping intervals.","Sorting, Greedy, Array",MEDIUM,SORTING_ALGORITHM,"Sort intervals by start time. Then iterate and compare each interval with the last merged one. If they overlap (current.start <= lastMerged.end), extend the end. Otherwise, add a new interval."
Merge Two Sorted Lists,Merge the two sorted linked lists into one sorted list. The list should be made by splicing together the nodes of the first two lists.,Linked List,MEDIUM,LINKED_LIST,"Use three pointers: prev (starts null), current (starts at head), and next (temp). At each step: save next, point current.next to prev, move prev to current, move current to next."
Number of Islands,"Given a 2D grid map of ones (land) and zeros (water), count the number of islands. An island is surrounded by water and is formed by connecting adjacent lands horizontally or vertically.","DFS, Graph, Matrix",HARD,GRAPH_TRAVERSAL,"Iterate through each cell. When you find a '1', increment island count and run DFS/BFS to mark all connected '1's as visited (change them to '0'). This prevents counting the same island twice."
Sort Colors,"Given an array nums with n objects colored red (0), white (1), and blue (2), sort them in-place so that objects of the same color are adjacent, in order 0 1 2.","Greedy, Sorting, Array",EASY,SORTING_ALGORITHM,"Sort intervals by start time. Then iterate and compare each interval with the last merged one. If they overlap (current.start <= lastMerged.end), extend the end. Otherwise, add a new interval."
Number of 1 Bits,Write a function that takes an unsigned integer and returns the number of 1 bits it has (also known as the Hamming weight).,Bit Manipulation,EASY,BIT_MANIPULATION,"A power of two in binary has exactly one 1-bit. Use the trick: n > 0 && (n & (n-1)) == 0. The expression n & (n-1) clears the lowest set bit — if that makes it zero, it was a power of 2."
Valid Parentheses,"Given a string containing just the characters (, ), {, }, [ and ], determine if the input string is valid. Brackets must be closed in the correct order.","Stack, Queue, Design",MEDIUM,STACK_QUEUE,"Use a Monotonic Stack (decreasing). Iterate through temperatures. For each day, pop all stack elements with lower temperatures and record the distance. Push the current day's index onto the stack."
House Robber,"Given an integer array representing the amount of money at each house, determine the maximum amount you can rob without robbing two adjacent houses.","Dynamic Programming, Math",MEDIUM,DYNAMIC_PROGRAMMING,"Use a 1D DP array where dp[amount] = minimum coins needed. Initialize dp[0]=0 and all others to infinity. For each coin, update dp[j] = min(dp[j], dp[j-coin]) for j from coin to amount."
Clone Graph,"Given a reference of a node in a connected undirected graph, return a deep copy of the graph. Each node contains a value and a list of its neighbors.","Graph, BFS",MEDIUM,GRAPH_TRAVERSAL,"Iterate through each cell. When you find a '1', increment island count and run DFS/BFS to mark all connected '1's as visited (change them to '0'). This prevents counting the same island twice."
Contains Duplicate,"Given an integer array nums, return true if any value appears at least twice in the array, and return false if every element is distinct.","Two Pointers, Array, Hash Table",EASY,HASH_MAP_LOOKUP,"Sort each string's characters to create a canonical key, then group strings sharing the same key using a Hash Map of lists."
Merge Intervals,"Given an array of intervals where intervals[i] = [start, end], merge all overlapping intervals and return an array of the non-overlapping intervals.","Sorting, Array",EASY,SORTING_ALGORITHM,"Sort intervals by start time. Then iterate and compare each interval with the last merged one. If they overlap (current.start <= lastMerged.end), extend the end. Otherwise, add a new interval."
House Robber,"Given an integer array representing the amount of money at each house, determine the maximum amount you can rob without robbing two adjacent houses.",Dynamic Programming,MEDIUM,DYNAMIC_PROGRAMMING,Create a 2D grid dp[m][n]. Each cell dp[i][j] = dp[i-1][j] + dp[i][j-1] since you can only arrive from above or from the left. Base case: first row and first column are all 1.
Minimum Window Substring,"Given two strings s and t, return the minimum window substring of s such that every character in t is included in the window.",String,HARD,SLIDING_WINDOW,"Use a fixed-size sliding window of length k. Compute the sum of the first k elements, then slide by adding the next element and removing the leftmost. Track the maximum sum found."
Kth Largest Element,"Given an integer array nums and an integer k, return the kth largest element in the array. Note that it is the kth largest element in sorted order.","Greedy, Array",EASY,SORTING_ALGORITHM,"Use a Min-Heap of size k. Iterate through all elements, pushing each one. If heap size exceeds k, pop the smallest. At the end, the heap's top is the kth largest. O(n log k) time."
Kth Largest Element,"Given an integer array nums and an integer k, return the kth largest element in the array. Note that it is the kth largest element in sorted order.",Greedy,EASY,SORTING_ALGORITHM,"Use the Dutch National Flag algorithm with three pointers: low, mid, high. Swap 0s to the front (low) and 2s to the back (high), leaving 1s in the middle. Single pass O(n)."
Two Sum,"Given an array of integers nums and an integer target, return indices of the two numbers such that they add up to target. You may assume that each input would have exactly one solution.","Two Pointers, Array, Hash Table",MEDIUM,HASH_MAP_LOOKUP,"Store elements of the smaller array in a Hash Set, then iterate through the larger array checking for membership. This gives O(n+m) time complexity."
Longest Common Subsequence,"Given two strings text1 and text2, return the length of their longest common subsequence. A subsequence can skip characters but maintains relative order.","Recursion, Math, Dynamic Programming",HARD,DYNAMIC_PROGRAMMING,Create a 2D grid dp[m][n]. Each cell dp[i][j] = dp[i-1][j] + dp[i][j-1] since you can only arrive from above or from the left. Base case: first row and first column are all 1.
