title,description,tags,difficulty,hint
Search in Rotated Sorted Array,"Given a rotated sorted array and a target, return the index of the target or -1. The original array was sorted in ascending order and rotated at some pivot.

Input: nums = [4,5,6,7,0,1,2], target = 0
Output: 4

Constraints:
- 1 <= nums.length <= 5000
- -10^4 <= nums[i] <= 10^4
- All values are unique","Array, Binary Search",MEDIUM,"Determine which half is sorted by comparing nums[left] with nums[mid], then check if the target lies within the sorted half to decide which side to search."
Find Minimum in Rotated Sorted Array,"Given a rotated sorted array of unique elements, return the minimum element.

Input: nums = [3,4,5,1,2]
Output: 1

Constraints:
- n == nums.length
- 1 <= n <= 5000
- All integers are unique
- nums was originally sorted ascending and rotated 1 to n times","Array, Binary Search",MEDIUM,"Use binary search comparing nums[mid] with nums[right]: if mid is greater, the minimum is in the right half; otherwise it is in the left half including mid."
Search Insert Position,"Given a sorted array of distinct integers and a target value, return the index if the target is found, or the index where it would be inserted.

Input: nums = [1,3,5,6], target = 5
Output: 2

Constraints:
- 1 <= nums.length <= 10^4
- -10^4 <= nums[i] <= 10^4
- nums contains distinct values sorted in ascending order","Array, Binary Search",EASY,"Use standard binary search; when the target is not found, the left pointer indicates the correct insertion position."
Find Peak Element,"A peak element is an element strictly greater than its neighbors. Given an array nums, find a peak element and return its index.

Input: nums = [1,2,3,1]
Output: 2

Constraints:
- 1 <= nums.length <= 1000
- -2^31 <= nums[i] <= 2^31 - 1
- nums[i] != nums[i + 1] for all valid i","Array, Binary Search",MEDIUM,Use binary search: compare nums[mid] with nums[mid+1]; move toward the larger neighbor since a peak is guaranteed to exist in that direction.
Koko Eating Bananas,"Koko can eat at most k bananas per hour from a pile. If the pile has fewer than k bananas, she finishes that pile in one hour. Return the minimum integer k such that she can eat all bananas within h hours.

Input: piles = [3,6,7,11], h = 8
Output: 4

Constraints:
- 1 <= piles.length <= 10^4
- piles.length <= h <= 10^9
- 1 <= piles[i] <= 10^9","Array, Binary Search",MEDIUM,"Binary search on the answer k: for each candidate speed, compute total hours needed using ceiling division, and find the minimum k where total hours <= h."
Median of Two Sorted Arrays,"Given two sorted arrays nums1 and nums2 of size m and n respectively, return the median of the two sorted arrays in O(log(m+n)) time.

Input: nums1 = [1,3], nums2 = [2]
Output: 2.0

Constraints:
- nums1.length == m
- nums2.length == n
- 0 <= m <= 1000
- 0 <= n <= 1000
- 1 <= m + n <= 2000","Array, Binary Search, Divide and Conquer",HARD,"Binary search on the partition of the smaller array, ensuring the left partition of both arrays combined has the correct number of elements with proper ordering."
First Bad Version,"You are a product manager and the current version is n. Versions are built on previous versions, so all versions after a bad version are also bad. Find the first bad version using the isBadVersion API.

Input: n = 5, bad = 4
Output: 4

Constraints:
- 1 <= bad <= n <= 2^31 - 1",Binary Search,EASY,"Use binary search with left and right pointers; when isBadVersion(mid) is true, search the left half; otherwise search the right half."
Maximum Depth of Binary Tree,"Given the root of a binary tree, return its maximum depth. The maximum depth is the number of nodes along the longest path from the root down to the farthest leaf node.

Input: root = [3,9,20,null,null,15,7]
Output: 3

Constraints:
- The number of nodes is in the range [0, 10^4]
- -100 <= Node.val <= 100","Tree, Binary Tree, DFS, BFS, Recursion",EASY,"Use recursion: the depth of a node is 1 plus the maximum of the depths of its left and right subtrees, with base case 0 for null nodes."
Invert Binary Tree,"Given the root of a binary tree, invert the tree and return its root (swap left and right children recursively).

Input: root = [4,2,7,1,3,6,9]
Output: [4,7,2,9,6,3,1]

Constraints:
- The number of nodes is in the range [0, 100]
- -100 <= Node.val <= 100","Tree, Binary Tree, DFS, BFS, Recursion",EASY,Recursively swap the left and right children at every node; base case is when the node is null.
Binary Tree Level Order Traversal,"Given the root of a binary tree, return the level order traversal of its nodes' values (left to right, level by level).

Input: root = [3,9,20,null,null,15,7]
Output: [[3],[9,20],[15,7]]

Constraints:
- The number of nodes is in the range [0, 2000]
- -1000 <= Node.val <= 1000","Tree, Binary Tree, BFS",MEDIUM,"Use BFS with a queue: process all nodes at the current level, adding their children to the queue for the next level."
Symmetric Tree,"Given the root of a binary tree, check whether it is a mirror of itself (symmetric around its center).

Input: root = [1,2,2,3,4,4,3]
Output: true

Constraints:
- The number of nodes is in the range [1, 1000]
- -100 <= Node.val <= 100","Tree, Binary Tree, DFS, BFS",EASY,"Use recursion comparing the left subtree's left child with the right subtree's right child, and vice versa."
Path Sum,"Given the root of a binary tree and an integer targetSum, return true if the tree has a root-to-leaf path where the sum of values equals targetSum.

Input: root = [5,4,8,11,null,13,4,7,2,null,null,null,1], targetSum = 22
Output: true

Constraints:
- The number of nodes is in the range [0, 5000]
- -1000 <= Node.val <= 1000","Tree, Binary Tree, DFS, Recursion",EASY,"Recursively subtract the current node's value from the target sum; at a leaf node, check if the remaining sum equals zero."
Diameter of Binary Tree,"Given the root of a binary tree, return the length of the diameter. The diameter is the length of the longest path between any two nodes, which may or may not pass through the root.

Input: root = [1,2,3,4,5]
Output: 3

Constraints:
- The number of nodes is in the range [1, 10^4]
- -100 <= Node.val <= 100","Tree, Binary Tree, DFS, Recursion",EASY,"At each node, the diameter through that node is left_depth + right_depth; use DFS to compute depths while tracking the global maximum diameter."
Lowest Common Ancestor of a Binary Tree,"Given a binary tree, find the lowest common ancestor (LCA) of two given nodes. The LCA is the lowest node that has both p and q as descendants.

Input: root = [3,5,1,6,2,0,8,null,null,7,4], p = 5, q = 1
Output: 3

Constraints:
- The number of nodes is in the range [2, 10^5]
- -10^9 <= Node.val <= 10^9
- All values are unique","Tree, Binary Tree, DFS, Recursion",MEDIUM,"Recursively search left and right subtrees; if both return non-null, the current node is the LCA; otherwise return the non-null result."
Serialize and Deserialize Binary Tree,"Design an algorithm to serialize and deserialize a binary tree. Serialization is converting a tree to a string, and deserialization is reconstructing the tree from the string.

Input: root = [1,2,3,null,null,4,5]
Output: [1,2,3,null,null,4,5]

Constraints:
- The number of nodes is in the range [0, 10^4]
- -1000 <= Node.val <= 1000","Tree, Binary Tree, DFS, BFS, String, Design",HARD,"Use preorder DFS traversal with a delimiter for null nodes during serialization, and rebuild the tree recursively using a queue of tokens during deserialization."
Binary Tree Maximum Path Sum,"Given the root, return the maximum path sum of any non-empty path. A path is any sequence of nodes where each pair of adjacent nodes has an edge.

Input: root = [-10,9,20,null,null,15,7]
Output: 42

Constraints:
- The number of nodes is in the range [1, 3 * 10^4]
- -1000 <= Node.val <= 1000","Tree, Binary Tree, DFS, Dynamic Programming",HARD,"At each node compute the maximum single-path sum (node + max(left, right, 0)), while updating a global maximum with (node + max(left,0) + max(right,0))."
Balanced Binary Tree,"Given a binary tree, determine if it is height-balanced. A height-balanced binary tree is one in which the depth of the two subtrees of every node never differs by more than one.

Input: root = [3,9,20,null,null,15,7]
Output: true

Constraints:
- The number of nodes is in the range [0, 5000]
- -10^4 <= Node.val <= 10^4","Tree, Binary Tree, DFS, Recursion",EASY,"Use bottom-up recursion returning the height of each subtree; if any subtree's children differ in height by more than 1, return -1 to propagate the imbalance."
Validate Binary Search Tree,"Given the root of a binary tree, determine if it is a valid binary search tree where left subtree values are strictly less and right subtree values are strictly greater.

Input: root = [2,1,3]
Output: true

Constraints:
- The number of nodes is in the range [1, 10^4]
- -2^31 <= Node.val <= 2^31 - 1","Tree, BST, DFS, Binary Tree",MEDIUM,"Use DFS with min/max bounds: each node must fall within (min, max), updating max when going left and min when going right."
Kth Smallest Element in a BST,"Given the root of a BST and an integer k, return the kth smallest value in the tree.

Input: root = [3,1,4,null,2], k = 1
Output: 1

Constraints:
- The number of nodes is n
- 1 <= k <= n <= 10^4
- 0 <= Node.val <= 10^4","Tree, BST, DFS, Binary Tree",MEDIUM,"Perform an inorder traversal (left, root, right) which visits BST nodes in sorted order, and return the kth element visited."
Convert Sorted Array to BST,"Given an integer array nums sorted in ascending order, convert it to a height-balanced binary search tree.

Input: nums = [-10,-3,0,5,9]
Output: [0,-3,9,-10,null,5] (one possible answer)

Constraints:
- 1 <= nums.length <= 10^4
- -10^4 <= nums[i] <= 10^4","Array, BST, Tree, Divide and Conquer, Binary Tree",EASY,"Recursively pick the middle element as the root, building the left subtree from the left half and the right subtree from the right half."
Delete Node in a BST,"Given a root node of a BST and a key, delete the node with the given key and return the root.

Input: root = [5,3,6,2,4,null,7], key = 3
Output: [5,4,6,2,null,null,7]

Constraints:
- The number of nodes is in the range [0, 10^4]
- -10^5 <= Node.val <= 10^5","Tree, BST, Binary Tree",MEDIUM,"Find the node to delete, then replace it with its inorder successor (smallest node in the right subtree) or inorder predecessor."
Number of Islands,"Given an m x n 2D grid of '1's (land) and '0's (water), count the number of islands. An island is surrounded by water and formed by connecting adjacent lands horizontally or vertically.

Input: grid = [[""1"",""1"",""0""],[""1"",""1"",""0""],[""0"",""0"",""1""]]
Output: 2

Constraints:
- m == grid.length
- n == grid[i].length
- 1 <= m, n <= 300
- grid[i][j] is '0' or '1'","Array, DFS, BFS, Graph, Matrix",MEDIUM,"Iterate through each cell; when a '1' is found, increment the island count and use DFS or BFS to mark all connected land cells as visited."
Clone Graph,"Given a reference of a node in a connected undirected graph, return a deep copy of the graph.

Input: adjList = [[2,4],[1,3],[2,4],[1,3]]
Output: [[2,4],[1,3],[2,4],[1,3]]

Constraints:
- The number of nodes is in the range [0, 100]
- 1 <= Node.val <= 100
- Node.val is unique for each node","Hash Table, DFS, BFS, Graph",MEDIUM,"Use DFS or BFS with a hash map mapping original nodes to their clones; for each node, clone it and recursively clone all unvisited neighbors."
Course Schedule,"There are numCourses courses labeled 0 to numCourses-1. You are given an array prerequisites where prerequisites[i] = [ai, bi] indicates you must take course bi before course ai. Return true if you can finish all courses.

Input: numCourses = 2, prerequisites = [[1,0]]
Output: true

Constraints:
- 1 <= numCourses <= 2000
- 0 <= prerequisites.length <= 5000","DFS, BFS, Graph",MEDIUM,Use topological sort with Kahn's algorithm (BFS with in-degree tracking) or DFS with cycle detection using three-color marking.
Pacific Atlantic Water Flow,"Given an m x n matrix of heights, return a list of cells from which water can flow to both the Pacific and Atlantic oceans.

Input: heights = [[1,2,2,3,5],[3,2,3,4,4],[2,4,5,3,1],[6,7,1,4,5],[5,1,1,2,4]]
Output: [[0,4],[1,3],[1,4],[2,2],[3,0],[3,1],[4,0]]

Constraints:
- m == heights.length
- n == heights[i].length
- 1 <= m, n <= 200","Array, DFS, BFS, Graph, Matrix",MEDIUM,"Run BFS or DFS from all Pacific border cells and all Atlantic border cells separately, then find the intersection of reachable cells."
Word Ladder,"Given beginWord, endWord, and a dictionary wordList, return the number of words in the shortest transformation sequence from beginWord to endWord, changing only one letter at a time.

Input: beginWord = ""hit"", endWord = ""cog"", wordList = [""hot"",""dot"",""dog"",""lot"",""log"",""cog""]
Output: 5

Constraints:
- 1 <= beginWord.length <= 10
- endWord.length == beginWord.length
- 1 <= wordList.length <= 5000","Hash Table, String, BFS",HARD,"Use BFS treating each word as a node and connecting words that differ by one letter, finding the shortest path from beginWord to endWord."
Graph Valid Tree,"Given n nodes labeled from 0 to n-1 and a list of undirected edges, check whether these edges make up a valid tree (connected, no cycles).

Input: n = 5, edges = [[0,1],[0,2],[0,3],[1,4]]
Output: true

Constraints:
- 1 <= n <= 2000
- 0 <= edges.length <= 5000","DFS, BFS, Graph, Union Find",MEDIUM,A valid tree has exactly n-1 edges and is connected; verify using Union Find or DFS to check connectivity and edge count.
Rotting Oranges,"Given a grid where 0 is empty, 1 is fresh orange, and 2 is rotten, every minute each rotten orange rots adjacent fresh ones. Return the minimum number of minutes until no fresh orange remains, or -1 if impossible.

Input: grid = [[2,1,1],[1,1,0],[0,1,1]]
Output: 4

Constraints:
- m == grid.length
- n == grid[i].length
- 1 <= m, n <= 10","Array, BFS, Matrix",MEDIUM,"Use multi-source BFS starting from all rotten oranges simultaneously, expanding one level per minute until all reachable fresh oranges are rotten."
Shortest Path in Binary Matrix,"Given an n x n binary matrix, return the length of the shortest clear path from top-left to bottom-right in an 8-directional grid. A clear path consists of 0 cells.

Input: grid = [[0,1],[1,0]]
Output: 2

Constraints:
- n == grid.length
- n == grid[i].length
- 1 <= n <= 100
- grid[i][j] is 0 or 1","Array, BFS, Matrix",MEDIUM,"Use BFS from the top-left corner exploring all 8 directions, with the first time reaching bottom-right being the shortest path."
Word Search II,"Given an m x n board of characters and a list of words, return all words that can be formed by sequentially adjacent cells (horizontally or vertically).

Input: board = [[""o"",""a"",""a"",""n""],[""e"",""t"",""a"",""e""],[""i"",""h"",""k"",""r""],[""i"",""f"",""l"",""v""]], words = [""oath"",""pea"",""eat"",""rain""]
Output: [""eat"",""oath""]

Constraints:
- m == board.length
- n == board[i].length
- 1 <= m, n <= 12
- 1 <= words.length <= 3 * 10^4","Array, String, Backtracking, Trie, Matrix",HARD,"Build a trie from all words, then DFS from each cell in the board following trie edges, pruning branches that don't lead to any remaining word."
Flood Fill,"Given an image represented by a 2D integer array, a starting pixel, and a color, perform a flood fill. Change the color of the starting pixel and all connected same-colored pixels.

Input: image = [[1,1,1],[1,1,0],[1,0,1]], sr = 1, sc = 1, color = 2
Output: [[2,2,2],[2,2,0],[2,0,1]]

Constraints:
- m == image.length
- n == image[i].length
- 1 <= m, n <= 50
- 0 <= image[i][j], color < 2^16","Array, DFS, BFS, Matrix",EASY,"Use DFS from the starting pixel, recursively coloring all adjacent cells that have the same original color."
Number of Connected Components,"Given n nodes and a list of edges, find the number of connected components in an undirected graph.

Input: n = 5, edges = [[0,1],[1,2],[3,4]]
Output: 2

Constraints:
- 1 <= n <= 2000
- 0 <= edges.length <= 5000","DFS, BFS, Graph, Union Find",MEDIUM,"Use DFS or Union Find to group nodes into connected components, counting the number of distinct groups."
Surrounded Regions,"Given an m x n board containing 'X' and 'O', capture all regions that are completely surrounded by 'X'. A region is captured by flipping all 'O's to 'X's.

Input: board = [[""X"",""X"",""X"",""X""],[""X"",""O"",""O"",""X""],[""X"",""X"",""O"",""X""],[""X"",""O"",""X"",""X""]]
Output: [[""X"",""X"",""X"",""X""],[""X"",""X"",""X"",""X""],[""X"",""X"",""X"",""X""],[""X"",""O"",""X"",""X""]]

Constraints:
- m == board.length
- n == board[i].length
- 1 <= m, n <= 200","Array, DFS, BFS, Matrix, Union Find",MEDIUM,DFS from all border 'O' cells to mark them as safe; then flip all remaining 'O' cells to 'X' since they are surrounded.
Climbing Stairs,"You are climbing a staircase with n steps. Each time you can climb 1 or 2 steps. In how many distinct ways can you climb to the top?

Input: n = 3
Output: 3 (1+1+1, 1+2, 2+1)

Constraints:
- 1 <= n <= 45","Math, Dynamic Programming, Recursion",EASY,"Use dynamic programming where dp[i] = dp[i-1] + dp[i-2], recognizing this is the Fibonacci sequence."
Coin Change,"Given an array of coin denominations and a total amount, return the fewest number of coins needed to make up that amount. If it cannot be made up, return -1.

Input: coins = [1,2,5], amount = 11
Output: 3 (5+5+1)

Constraints:
- 1 <= coins.length <= 12
- 1 <= coins[i] <= 2^31 - 1
- 0 <= amount <= 10^4","Array, Dynamic Programming, BFS",MEDIUM,"Use a 1D DP array where dp[i] = minimum coins for amount i, updating dp[j] = min(dp[j], dp[j-coin]+1) for each coin."
Longest Increasing Subsequence,"Given an integer array nums, return the length of the longest strictly increasing subsequence.

Input: nums = [10,9,2,5,3,7,101,18]
Output: 4 ([2,3,7,101])

Constraints:
- 1 <= nums.length <= 2500
- -10^4 <= nums[i] <= 10^4","Array, Binary Search, Dynamic Programming",MEDIUM,"Use a DP array where dp[i] is the length of the LIS ending at index i, or optimize to O(n log n) using patience sorting with binary search."
House Robber,"Given an array representing money at each house, determine the maximum amount you can rob without robbing two adjacent houses.

Input: nums = [1,2,3,1]
Output: 4 (house 0 + house 2)

Constraints:
- 1 <= nums.length <= 100
- 0 <= nums[i] <= 400","Array, Dynamic Programming",MEDIUM,"Use DP where dp[i] = max(dp[i-1], dp[i-2] + nums[i]): either skip the current house or rob it plus the best from two houses back."
Longest Common Subsequence,"Given two strings text1 and text2, return the length of their longest common subsequence.

Input: text1 = ""abcde"", text2 = ""ace""
Output: 3 (""ace"")

Constraints:
- 1 <= text1.length, text2.length <= 1000
- text1 and text2 consist of only lowercase English characters","String, Dynamic Programming",MEDIUM,"Build a 2D DP table where dp[i][j] = dp[i-1][j-1]+1 if characters match, otherwise max(dp[i-1][j], dp[i][j-1])."
Unique Paths,"A robot is at the top-left corner of an m x n grid. It can only move right or down. How many unique paths exist to reach the bottom-right corner?

Input: m = 3, n = 7
Output: 28

Constraints:
- 1 <= m, n <= 100","Math, Dynamic Programming",MEDIUM,"Use a 2D DP table where dp[i][j] = dp[i-1][j] + dp[i][j-1], since you can only arrive from above or from the left."
Word Break,"Given a string s and a dictionary of strings wordDict, return true if s can be segmented into a space-separated sequence of one or more dictionary words.

Input: s = ""leetcode"", wordDict = [""leet"",""code""]
Output: true

Constraints:
- 1 <= s.length <= 300
- 1 <= wordDict.length <= 1000
- 1 <= wordDict[i].length <= 20","Hash Table, String, Dynamic Programming, Trie",MEDIUM,Use a boolean DP array where dp[i] is true if s[0:i] can be segmented; for each position check all dictionary words that could end there.
Edit Distance,"Given two strings word1 and word2, return the minimum number of operations required to convert word1 to word2 using insert, delete, or replace.

Input: word1 = ""horse"", word2 = ""ros""
Output: 3

Constraints:
- 0 <= word1.length, word2.length <= 500
- word1 and word2 consist of lowercase English letters","String, Dynamic Programming",MEDIUM,"Build a 2D DP table where dp[i][j] is the edit distance for word1[0:i] and word2[0:j], considering insert, delete, and replace operations."
Decode Ways,"Given a string s containing only digits, return the number of ways to decode it where A=1, B=2, ..., Z=26.

Input: s = ""226""
Output: 3 (""BZ"", ""VF"", ""BBF"")

Constraints:
- 1 <= s.length <= 100
- s contains only digits and may contain leading zeros","String, Dynamic Programming",MEDIUM,Use DP where dp[i] depends on whether s[i] forms a valid single digit and whether s[i-1:i+1] forms a valid two-digit number between 10 and 26.
Partition Equal Subset Sum,"Given an integer array nums, return true if you can partition the array into two subsets such that the sum of elements in both subsets is equal.

Input: nums = [1,5,11,5]
Output: true ([1,5,5] and [11])

Constraints:
- 1 <= nums.length <= 200
- 1 <= nums[i] <= 100","Array, Dynamic Programming",MEDIUM,This is a 0/1 knapsack problem: use a boolean DP array of size totalSum/2 and check if any subset sums to exactly half the total.
Longest Palindromic Subsequence,"Given a string s, find the longest palindromic subsequence's length.

Input: s = ""bbbab""
Output: 4 (""bbbb"")

Constraints:
- 1 <= s.length <= 1000
- s consists only of lowercase English letters","String, Dynamic Programming",MEDIUM,"Use a 2D DP table where dp[i][j] is the LPS length for substring s[i..j], expanding from length 1 upward."
Maximum Length of Repeated Subarray,"Given two integer arrays nums1 and nums2, return the maximum length of a subarray that appears in both arrays.

Input: nums1 = [1,2,3,2,1], nums2 = [3,2,1,4,7]
Output: 3 ([3,2,1])

Constraints:
- 1 <= nums1.length, nums2.length <= 1000
- 0 <= nums1[i], nums2[i] <= 100","Array, Dynamic Programming, Binary Search",MEDIUM,"Use a 2D DP table where dp[i][j] is the length of the longest common suffix ending at nums1[i-1] and nums2[j-1], tracking the global maximum."
Minimum Path Sum,"Given an m x n grid filled with non-negative numbers, find a path from top left to bottom right which minimizes the sum of all numbers along its path. You can only move down or right.

Input: grid = [[1,3,1],[1,5,1],[4,2,1]]
Output: 7 (1->3->1->1->1)

Constraints:
- m == grid.length
- n == grid[i].length
- 1 <= m, n <= 200
- 0 <= grid[i][j] <= 200","Array, Dynamic Programming, Matrix",MEDIUM,"Use DP where dp[i][j] = grid[i][j] + min(dp[i-1][j], dp[i][j-1]), building up from the top-left corner."
Jump Game,"You are given an integer array nums. You are initially positioned at the first index. Each element represents your maximum jump length at that position. Determine if you can reach the last index.

Input: nums = [2,3,1,1,4]
Output: true

Constraints:
- 1 <= nums.length <= 10^4
- 0 <= nums[i] <= 10^5","Array, Dynamic Programming, Greedy",MEDIUM,"Track the farthest reachable index greedily; at each position, update the maximum reach and return false if you are stuck at a position beyond reach."
Jump Game II,"Return the minimum number of jumps to reach the last index. You can assume that you can always reach the last index.

Input: nums = [2,3,1,1,4]
Output: 2

Constraints:
- 1 <= nums.length <= 10^4
- 0 <= nums[i] <= 1000","Array, Dynamic Programming, Greedy",MEDIUM,"Use a greedy BFS approach maintaining the current jump's end boundary and the farthest reachable position, incrementing jumps when crossing the boundary."
Gas Station,"There are n gas stations along a circular route. Given arrays gas and cost, return the starting station's index if you can travel around the circuit once clockwise, or -1 if impossible.

Input: gas = [1,2,3,4,5], cost = [3,4,5,1,2]
Output: 3

Constraints:
- n == gas.length == cost.length
- 1 <= n <= 10^5
- 0 <= gas[i], cost[i] <= 10^4","Array, Greedy",MEDIUM,"Track the total surplus and current tank; if the current tank goes negative, reset the start to the next station since no station before could work."
Task Scheduler,"Given a list of tasks with a cooldown interval n between same tasks, return the least number of units of times needed to complete all tasks.

Input: tasks = [""A"",""A"",""A"",""B"",""B"",""B""], n = 2
Output: 8

Constraints:
- 1 <= tasks.length <= 10^4
- tasks[i] is uppercase English letter
- 0 <= n <= 100","Array, Hash Table, Greedy, Sorting, Heap",MEDIUM,"The answer is max(tasks.length, (maxFreq-1) * (n+1) + countOfMaxFreq) where maxFreq is the highest task frequency."
Non-overlapping Intervals,"Given an array of intervals, return the minimum number of intervals you need to remove to make the rest non-overlapping.

Input: intervals = [[1,2],[2,3],[3,4],[1,3]]
Output: 1

Constraints:
- 1 <= intervals.length <= 10^5
- intervals[i].length == 2","Array, Dynamic Programming, Greedy, Sorting",MEDIUM,"Sort intervals by end time, then greedily keep intervals that don't overlap with the last kept interval, counting removals."
Assign Cookies,"Assume you are a parent and want to give cookies to children. Each child i has a greed factor g[i] and each cookie j has a size s[j]. A child is content if s[j] >= g[i]. Maximize the number of content children.

Input: g = [1,2,3], s = [1,1]
Output: 1

Constraints:
- 1 <= g.length <= 3 * 10^4
- 1 <= s.length <= 3 * 10^4
- 1 <= g[i], s[j] <= 2^31 - 1","Array, Greedy, Sorting, Two Pointers",EASY,Sort both arrays and use two pointers to greedily assign the smallest sufficient cookie to the least greedy unsatisfied child.
Partition Labels,"Given a string s, partition it so that each letter appears in at most one part. Return a list of integers representing the size of each part.

Input: s = ""ababcbacadefegdehijhklij""
Output: [9,7,8]

Constraints:
- 1 <= s.length <= 500
- s consists of lowercase English letters","Hash Table, String, Greedy, Two Pointers",MEDIUM,"Track the last occurrence of each character, then greedily extend each partition to include all characters' last positions."
Subsets,"Given an integer array nums of unique elements, return all possible subsets (the power set). The solution set must not contain duplicate subsets.

Input: nums = [1,2,3]
Output: [[],[1],[2],[1,2],[3],[1,3],[2,3],[1,2,3]]

Constraints:
- 1 <= nums.length <= 10
- -10 <= nums[i] <= 10
- All elements are unique","Array, Backtracking, Bit Manipulation",MEDIUM,"Use backtracking: at each element, either include it or skip it, building all possible combinations recursively."
Permutations,"Given an array nums of distinct integers, return all the possible permutations.

Input: nums = [1,2,3]
Output: [[1,2,3],[1,3,2],[2,1,3],[2,3,1],[3,1,2],[3,2,1]]

Constraints:
- 1 <= nums.length <= 6
- -10 <= nums[i] <= 10
- All integers are distinct","Array, Backtracking",MEDIUM,"Use backtracking with a visited set: for each position, try all unused elements, recurse, then backtrack by unmarking the element."
Combination Sum,"Given an array of distinct integers candidates and a target integer, return all unique combinations where the chosen numbers sum to target. The same number may be used unlimited times.

Input: candidates = [2,3,6,7], target = 7
Output: [[2,2,3],[7]]

Constraints:
- 1 <= candidates.length <= 30
- 2 <= candidates[i] <= 40
- 1 <= target <= 40","Array, Backtracking",MEDIUM,"Use backtracking, allowing repeated selection of the same candidate; prune branches where the remaining target becomes negative."
Letter Combinations of a Phone Number,"Given a string containing digits from 2-9, return all possible letter combinations that the number could represent (like phone keypad mapping).

Input: digits = ""23""
Output: [""ad"",""ae"",""af"",""bd"",""be"",""bf"",""cd"",""ce"",""cf""]

Constraints:
- 0 <= digits.length <= 4
- digits[i] is a digit in the range ['2', '9']","Hash Table, String, Backtracking",MEDIUM,"Use backtracking with a digit-to-letters mapping, building combinations one character at a time for each digit."
N-Queens,"Place n queens on an n x n chessboard such that no two queens attack each other. Return all distinct solutions.

Input: n = 4
Output: [["".Q.."",""...Q"",""Q..."",""..Q.""],[""..Q."",""Q..."",""...Q"","".Q..""]]

Constraints:
- 1 <= n <= 9","Array, Backtracking",HARD,"Use backtracking placing one queen per row, tracking attacked columns and diagonals using three hash sets."
Generate Parentheses,"Given n pairs of parentheses, write a function to generate all combinations of well-formed parentheses.

Input: n = 3
Output: [""((()))"",""(()())"",""(())()"",""()(())"",""()()()""]

Constraints:
- 1 <= n <= 8","String, Dynamic Programming, Backtracking",MEDIUM,"Use backtracking tracking open and close counts: add an open parenthesis if open < n, add a close if close < open."
Palindrome Partitioning,"Given a string s, partition s such that every substring of the partition is a palindrome. Return all possible palindrome partitioning of s.

Input: s = ""aab""
Output: [[""a"",""a"",""b""],[""aa"",""b""]]

Constraints:
- 1 <= s.length <= 16
- s consists of only lowercase English letters","String, Dynamic Programming, Backtracking",MEDIUM,"Use backtracking: at each position, try all substrings starting there that are palindromes, recurse on the remaining string."
Word Search,"Given an m x n grid of characters board and a string word, return true if word exists in the grid by following sequentially adjacent cells.

Input: board = [[""A"",""B"",""C"",""E""],[""S"",""F"",""C"",""S""],[""A"",""D"",""E"",""E""]], word = ""ABCCED""
Output: true

Constraints:
- m == board.length
- n == board[i].length
- 1 <= m, n <= 6
- 1 <= word.length <= 15","Array, String, Backtracking, Matrix",MEDIUM,"Use DFS backtracking from each cell matching the first character, marking cells as visited and unvisiting during backtrack."
Merge Intervals,"Given an array of intervals, merge all overlapping intervals and return an array of the non-overlapping intervals that cover all the intervals in the input.

Input: intervals = [[1,3],[2,6],[8,10],[15,18]]
Output: [[1,6],[8,10],[15,18]]

Constraints:
- 1 <= intervals.length <= 10^4
- intervals[i].length == 2
- 0 <= start_i <= end_i <= 10^4","Array, Sorting",MEDIUM,"Sort intervals by start time, then merge overlapping ones by comparing the current interval's start with the previous interval's end."
Kth Largest Element in an Array,"Given an integer array nums and an integer k, return the kth largest element in the array.

Input: nums = [3,2,1,5,6,4], k = 2
Output: 5

Constraints:
- 1 <= k <= nums.length <= 10^5
- -10^4 <= nums[i] <= 10^4","Array, Sorting, Heap, Divide and Conquer",MEDIUM,"Use a min-heap of size k: iterate through all elements, pushing each one and popping when size exceeds k; the heap top is the kth largest."
Sort List,"Given the head of a linked list, return the list after sorting it in ascending order in O(n log n) time and O(1) space.

Input: head = [4,2,1,3]
Output: [1,2,3,4]

Constraints:
- The number of nodes is in the range [0, 5 * 10^4]
- -10^5 <= Node.val <= 10^5","Linked List, Two Pointers, Sorting, Divide and Conquer",MEDIUM,"Use bottom-up merge sort: split the list using slow/fast pointers, recursively sort both halves, and merge them."
Meeting Rooms II,"Given an array of meeting time intervals, find the minimum number of conference rooms required.

Input: intervals = [[0,30],[5,10],[15,20]]
Output: 2

Constraints:
- 1 <= intervals.length <= 10^4
- 0 <= start_i < end_i <= 10^6","Array, Sorting, Heap, Two Pointers",MEDIUM,"Sort intervals by start time and use a min-heap tracking end times; if the earliest ending room is free, reuse it, otherwise allocate a new room."
Largest Number,"Given a list of non-negative integers, arrange them such that they form the largest number.

Input: nums = [10,2]
Output: ""210""

Constraints:
- 1 <= nums.length <= 100
- 0 <= nums[i] <= 10^9","Array, String, Greedy, Sorting",MEDIUM,"Sort numbers using a custom comparator: compare a+b vs b+a as strings, placing the combination that forms the larger number first."
Find Median from Data Stream,"Design a data structure that supports adding integers and finding the median of all elements so far.

Input: [""MedianFinder"",""addNum"",""addNum"",""findMedian"",""addNum"",""findMedian""]
Output: [null,null,null,1.5,null,2.0]

Constraints:
- -10^5 <= num <= 10^5
- There will be at least one element before calling findMedian","Heap, Sorting, Design",HARD,"Use two heaps: a max-heap for the lower half and a min-heap for the upper half, keeping them balanced so the median is always accessible from the tops."
